shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,launch_regime_key,carry_window,physics_carry_yd,fs_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,fs_total_yd,diff_total_yd,rollout_physics_yd,rollout_fs_yd,diff_rollout_yd,physics_apex_ft,fs_apex_ft,diff_apex_ft,gsp_carry_yd,gsp_total_yd,gsp_apex_ft,diff_gsp_carry_yd,diff_gsp_total_yd,diff_gsp_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
s5_shot_3w_38,130.1,7.9,-0.6,1997,1.8,D-S4-V0-P0,150-180,170.6,171.0,-0.4,170.6,-0.4,170.5,200.0,-29.5,-0.1,29.0,-29.1,28.9,28.9,0.0,,,,,,,,,,false,severe
s3_shot_6i_44,115.0,9.5,-6.7,2314,15.1,D-S3-V0-P0,115-150,140.5,142.3,-1.8,140.5,-1.8,140.2,168.2,-28.0,-0.3,25.9,-26.2,25.2,26.6,-1.4,,,,,,,,,,false,severe
s2_shot_21,127.3,7.2,-11.5,2321,-19.5,D-S4-V0-P0,150-180,159.8,154.9,4.9,159.8,4.9,214.2,186.5,27.7,54.4,31.6,22.8,24.8,23.1,1.7,,,,,,,,,,false,severe
driver1,124.0,9.4,-9.5,2322,-24.8,D-S4-V0-P0,150-180,157.7,158.0,-0.3,157.7,-0.3,157.7,184.0,-26.3,0.0,26.0,-26.0,29.4,30.2,-0.8,,,,,,,,,,false,severe
s5_shot_6i_34,111.1,9.3,-8.6,2637,-2.9,D-S3-V0-P1,115-150,135.4,136.7,-1.3,135.4,-1.3,135.0,161.3,-26.3,-0.4,24.6,-25.0,24.2,25.6,-1.4,,,,,,,,,,false,severe
s5_shot_driver_43,133.2,5.8,-6.6,2130,-19.7,D-S4-V0-P0,150-180,159.3,154.2,5.1,159.3,5.1,216.9,192.0,24.9,57.6,37.8,19.8,20.4,18.4,2.0,,,,,,,,,,false,severe
bump_and_run,58.3,15.6,-0.8,1850,2.3,C-S0-V1-P0,<115,37.7,43.8,-6.1,37.7,-6.1,37.4,62.0,-24.6,-0.3,18.2,-18.5,8.6,10.1,-1.5,,,,,,,,,,false,severe
s3_shot_5i_12,74.2,10.2,-1.7,3321,15.8,I-S1b-V1-P1,<115,58.7,58.4,0.3,58.7,0.3,57.5,81.9,-24.4,-1.2,23.5,-24.7,10.2,9.4,0.8,,,,,,,,,,false,severe
s2_shot_23,125.5,8.6,-14.3,3062,-23.9,D-S4-V0-P1,150-180,161.1,161.9,-0.8,161.1,-0.8,161.1,185.0,-23.9,0.0,23.1,-23.1,29.8,31.0,-1.2,,,,,,,,,,false,severe
s5_shot_driver_42,136.1,8.7,-3.0,2155,-0.6,D-S4-V0-P0,180-200,192.0,193.9,-1.9,192.0,-1.9,193.0,216.9,-23.9,1.0,23.0,-22.0,38.3,39.1,-0.8,,,,,,,,,,false,severe
s3_shot_3w_24,123.4,6.3,-5.4,2752,-13.3,D-S4-V0-P1,115-150,148.2,145.9,2.3,148.2,2.3,200.5,176.7,23.8,52.3,30.8,21.5,20.5,19.8,0.7,,,,,,,,,,false,severe
s5_shot_3w_41,126.6,7.9,-0.0,2418,5.9,D-S4-V0-P0,150-180,168.4,165.8,2.6,168.4,2.6,168.3,191.8,-23.5,-0.1,26.0,-26.1,29.3,28.8,0.5,,,,,,,,,,false,severe
s3_shot_3w_23,115.8,8.9,-0.8,2804,2.2,D-S3-V0-P1,115-150,147.8,147.7,0.1,147.8,0.1,147.6,170.9,-23.3,-0.2,23.2,-23.4,26.7,28.0,-1.3,,,,,,,,,,false,severe
s3_shot_7i_26,73.4,10.8,15.4,3561,30.0,I-S1b-V1-P1,<115,57.4,56.6,0.8,57.4,0.8,56.3,79.3,-23.0,-1.1,22.7,-23.8,10.4,9.6,0.8,,,,,,,,,,false,severe
s5_shot_driver_47,137.2,7.1,-4.3,2596,-12.1,D-S4-V0-P1,180-200,188.5,186.5,2.0,188.5,2.0,188.8,211.8,-23.0,0.3,25.3,-25.0,33.9,32.0,1.9,,,,,,,,,,false,severe
s5_shot_driver_49,123.5,18.7,3.8,5686,9.0,I-S4-V2-P3,180-200,183.1,180.1,3.0,183.1,3.0,204.7,182.6,22.1,21.6,2.5,19.1,130.1,104.1,26.0,,,,,,,,,,false,severe
s3_shot_5i_16,98.0,9.1,-2.1,3776,1.7,I-S2-V0-P1,<115,109.1,109.1,0.0,109.1,0.0,108.0,130.0,-22.0,-1.1,20.9,-22.0,19.2,19.7,-0.5,,,,,,,,,,false,severe
s3_shot_6i_38,79.1,13.3,3.0,3187,11.6,I-S1b-V1-P1,<115,75.3,79.2,-3.9,75.3,-3.9,75.5,97.5,-22.0,0.2,18.3,-18.1,17.9,18.0,-0.1,,,,,,,,,,false,severe
wood_low_test_shot,114.5,7.0,-0.6,1932,-1.4,D-S3-V0-P0,115-150,123.9,122.6,1.3,123.9,1.3,180.9,158.9,22.0,57.0,36.3,20.7,16.0,15.7,0.3,,,,,,,,,,false,severe
s5_shot_6i_31,97.9,9.4,-3.7,3752,4.5,I-S2-V0-P1,<115,109.6,109.9,-0.3,109.6,-0.3,108.6,130.4,-21.8,-1.0,20.5,-21.5,19.7,20.5,-0.8,,,,,,,,,,false,severe
s3_shot_driver_55,117.5,7.5,-8.3,2150,-27.2,D-S3-V0-P0,115-150,127.6,125.6,2.0,127.6,2.0,183.5,161.8,21.7,55.9,36.2,19.7,17.6,17.2,0.4,,,,,,,,,,false,severe
s5_shot_3w_36,128.3,9.5,-2.9,2614,-6.8,D-S4-V0-P1,180-200,177.1,180.9,-3.8,177.1,-3.8,178.0,199.7,-21.7,0.9,18.8,-17.9,37.2,39.9,-2.7,,,,,,,,,,false,severe
s2_shot_26,117.0,18.4,-2.0,5035,9.7,I-S3-V2-P2,150-180,172.6,170.7,1.9,172.6,1.9,195.8,174.2,21.6,23.2,3.5,19.7,108.5,88.1,20.4,,,,,,,,,,false,severe
s5_shot_6i_30,96.5,10.1,-3.5,1644,5.1,I-S2-V1-P0,<115,96.3,98.4,-2.1,96.3,-2.1,150.6,129.3,21.3,54.3,30.9,23.4,15.8,16.5,-0.7,,,,,,,,,,false,severe
s3_shot_driver_58,119.3,23.6,2.5,7093,3.3,I-S3-V2-P3,150-180,169.7,163.2,6.5,169.7,6.5,184.8,163.9,20.9,15.1,0.7,14.4,109.7,125.7,-16.0,,,,,,,,,,false,severe
s3_shot_6i_45,109.3,6.4,-9.0,2510,-10.9,I-S3-V0-P1,<115,112.6,109.6,3.0,112.6,3.0,165.8,145.4,20.4,53.2,35.8,17.4,13.4,12.9,0.5,,,,,,,,,,false,severe
s3_shot_3w_22,108.9,5.6,-7.2,2501,-1.8,I-S3-V0-P1,<115,105.8,103.2,2.6,105.8,2.6,160.9,141.3,19.6,55.1,38.1,17.0,11.0,10.5,0.5,,,,,,,,,,false,severe
wood1,124.2,6.7,-8.1,4528,4.8,D-S4-V0-P2,150-180,162.4,165.5,-3.1,162.4,-3.1,162.4,181.9,-19.5,0.0,16.4,-16.4,30.1,32.8,-2.7,,,,,,,,,,false,severe
s3_shot_7i_25,83.3,13.2,3.0,3410,17.8,I-S1b-V1-P1,<115,85.5,86.9,-1.4,85.5,-1.4,85.8,104.8,-19.0,0.3,17.9,-17.6,20.6,20.1,0.5,,,,,,,,,,false,severe
s5_shot_3w_35,107.0,10.7,9.5,3700,15.5,I-S3-V1-P1,115-150,133.3,134.5,-1.2,133.3,-1.2,133.2,151.6,-18.4,-0.1,17.1,-17.2,28.1,31.0,-2.9,,,,,,,,,,false,severe
s3_shot_driver_52,102.1,31.3,3.1,8442,6.3,W-S2-V3-P4,115-150,128.2,124.5,3.7,128.2,3.7,142.4,124.1,18.3,14.2,-0.4,14.6,112.7,119.3,-6.6,,,,,,,,,,false,severe
s3_shot_driver_57,120.9,14.1,-5.2,1544,-8.0,D-S4-V1-P0,150-180,174.3,177.6,-3.3,174.3,-3.3,179.3,197.0,-17.7,5.0,19.4,-14.4,48.2,50.9,-2.7,,,,,,,,,,false,severe
s3_shot_6i_42,77.2,13.1,-3.4,4057,4.1,I-S1b-V1-P2,<115,75.6,76.6,-1.0,75.6,-1.0,75.5,92.9,-17.4,-0.1,16.3,-16.4,18.1,17.5,0.6,,,,,,,,,,false,severe
s5_shot_pw_2,57.8,26.8,2.8,4564,2.1,C-S0-V3-P2,<115,59.7,57.9,1.8,59.7,1.8,78.8,61.9,16.9,19.1,4.0,15.1,28.4,27.4,1.0,,,,,,,,,,false,severe
driver3,119.1,16.0,-8.9,4935,-9.4,D-S3-V1-P2,150-180,175.0,174.1,0.9,175.0,0.9,195.3,178.5,16.8,20.3,4.4,15.9,93.2,78.5,14.7,,,,,,,,,,false,severe
s3_shot_6i_35,80.5,15.3,-1.3,4667,-0.0,I-S1b-V1-P2,<115,85.2,90.0,-4.8,85.2,-4.8,85.3,101.5,-16.2,0.1,11.5,-11.4,23.2,26.4,-3.2,,,,,,,,,,false,severe
s3_shot_3w_19,121.3,5.6,-4.8,1662,-11.9,D-S4-V0-P0,115-150,120.0,120.6,-0.6,120.0,-0.6,181.8,165.8,16.0,61.8,45.2,16.6,12.3,12.2,0.1,,,,,,,,,,false,severe
s4_shot_9i_17,79.4,14.9,16.4,4369,30.0,I-S1b-V1-P2,<115,79.5,80.9,-1.4,79.5,-1.4,79.6,95.6,-16.0,0.1,14.7,-14.6,20.8,21.4,-0.6,,,,,,,,,,false,severe
s3_shot_3w_21,119.4,5.3,-3.4,1760,-10.5,D-S3-V0-P0,<115,115.2,114.6,0.6,115.2,0.6,176.4,160.5,15.9,61.2,45.9,15.3,11.2,10.9,0.3,,,,,,,,,,false,severe
s3_shot_5i_11,90.6,14.4,-0.2,3360,7.8,I-S2-V1-P1,<115,106.9,108.8,-1.9,106.9,-1.9,108.2,124.1,-15.9,1.3,15.3,-14.0,28.9,29.8,-0.9,,,,,,,,,,false,severe
s5_shot_6i_32,90.2,9.7,-1.3,4135,8.0,I-S2-V0-P2,<115,97.7,93.7,4.0,97.7,4.0,97.6,113.4,-15.8,-0.1,19.7,-19.8,19.6,17.2,2.4,,,,,,,,,,false,severe
s5_shot_driver_45,128.9,5.1,-5.2,1635,2.9,D-S4-V0-P0,115-150,134.5,135.9,-1.4,134.5,-1.4,197.4,181.7,15.7,62.9,45.8,17.1,13.6,13.3,0.3,,,,,,,,,,false,severe
s3_shot_driver_60,107.4,11.7,-8.6,3269,-14.8,I-S3-V1-P1,115-150,137.9,138.5,-0.6,137.9,-0.6,138.4,153.8,-15.4,0.5,15.3,-14.8,31.5,34.0,-2.5,,,,,,,,,,false,severe
s2_shot_15,88.1,14.2,-0.3,4985,19.4,I-S2-V1-P2,<115,98.0,101.3,-3.3,98.0,-3.3,98.0,113.1,-15.1,0.0,11.8,-11.8,26.1,28.9,-2.8,,,,,,,,,,false,severe
s5_shot_6i_33,105.7,11.7,-1.4,3776,11.0,I-S3-V1-P1,115-150,136.3,136.7,-0.4,136.3,-0.4,136.8,151.9,-15.1,0.5,15.2,-14.7,32.3,35.0,-2.7,,,,,,,,,,false,severe
s3_shot_5i_15,86.9,9.3,-4.0,2509,-4.9,I-S2-V0-P1,<115,74.0,78.6,-4.6,74.0,-4.6,121.1,106.6,14.5,47.1,28.0,19.1,11.0,12.1,-1.1,,,,,,,,,,false,severe
s3_shot_driver_51,116.2,21.7,2.2,6409,3.2,I-S3-V2-P3,150-180,163.5,162.9,0.6,163.5,0.6,178.8,164.3,14.5,15.3,1.4,13.9,97.2,108.7,-11.5,,,,,,,,,,false,severe
s3_shot_driver_59,81.0,44.9,8.9,6735,12.4,W-S1b-V4-P3,<115,82.1,83.7,-1.6,82.1,-1.6,97.6,83.2,14.4,15.5,-0.5,16.0,103.6,107.8,-4.2,,,,,,,,,,false,severe
s4_shot_6i_19,85.6,14.7,2.9,4623,10.9,I-S2-V1-P2,<115,96.0,98.9,-2.9,96.0,-2.9,96.8,110.8,-14.0,0.8,11.9,-11.1,27.7,28.6,-0.9,,,,,,,,,,false,severe
s3_shot_7i_31,76.4,17.5,-0.5,5122,1.8,I-S1b-V1-P2,<115,80.7,85.0,-4.3,80.7,-4.3,80.7,94.5,-13.8,0.0,9.5,-9.5,24.4,28.4,-4.0,,,,,,,,,,false,severe
topped_test_shot,91.8,5.0,-0.9,2195,16.2,I-S2-V0-P0,<115,55.5,56.2,-0.7,55.5,-0.7,109.1,95.3,13.8,53.6,39.1,14.5,4.2,4.3,-0.1,,,,,,,,,,false,severe
s3_shot_6i_50,82.8,14.8,-1.4,3783,2.8,I-S1b-V1-P1,<115,91.5,93.2,-1.7,91.5,-1.7,93.9,107.4,-13.5,2.4,14.2,-11.8,28.5,25.6,2.9,,,,,,,,,,false,severe
bump_test_shot,78.3,5.6,-0.8,1850,2.3,I-S1b-V0-P0,<115,37.3,39.0,-1.7,37.3,-1.7,87.2,74.0,13.2,49.9,35.0,14.9,3.0,3.1,-0.1,,,,,,,,,,false,severe
s3_shot_6i_41,82.5,9.9,-2.3,2620,13.6,I-S1b-V0-P1,<115,66.6,71.3,-4.7,66.6,-4.7,110.8,97.9,12.9,44.2,26.6,17.6,10.3,11.3,-1.0,,,,,,,,,,false,severe
s4_shot_5i_29,76.2,6.1,0.7,3695,-0.0,I-S1b-V0-P1,<115,51.2,46.2,5.0,51.2,5.0,86.2,73.3,12.9,35.0,27.1,7.9,5.1,4.3,0.8,,,,,,,,,,false,severe
